"No.","station_id","C_conc_0.30cm","C_conc_30.100cm","Bulk_density_0.30cm","Bulk_density_30.100cm","C_stock.tons.ha._0.30cm","C_stock.tons.ha._30.100cm","Texture_0.30cm_.Sand","Texture_0.30cm_.Clay","Texture_0.30cm_.Silt","Textural.class_0.30cm","Texture_30.100cm_.Sand","Texture_30.100cm_.Clay","Texture_30.100cm_.Silt","Textural.class_30.100cm","Lon","Lat","MAT","MAP","Fire_frequency"
491,"id_147",0.28,0.32,1.6,1.52,13.24,14.64,78,16,6,"SANDY LOAM",82,8,10,"LOAMY SAND",24.7046212,-17.4591405,22.8250001271566,633,0
492,"id_206",0.6,0.36,1.9,1.74,34.27,18.76,92,6,2,"SAND",92,6,2,"SAND",24.7342452,-17.4240641,22.7750002543132,636,1
493,"id_113",3.36,1.52,0.9,1.01,90.36,45.98,18,38,44,"SILTY CLAY LOAM",36,36,28,"CLAY LOAM",24.7121021,-17.480003,22.8416666984558,632,0
494,"id_349",1.56,1.04,1.4,1.3,64.97,40.7,62.8,28.8,8.4,"SANDY CLAY LOAM",66.8,26.8,6.4,"SANDY CLAY LOAM",24.9904695,-17.1858113,22.9666666984558,675,1
495,"id_607",0.44,0.32,1.7,1.65,22.98,15.79,90.8,6.8,2.4,"SAND",90.8,6.8,2.4,"SAND",25.033743,-17.1521434,22.9166668256124,675,3
496,"id_648",2.48,0.68,1.2,1.7,88.25,34.7,82.8,8.8,8.4,"LOAMY SAND",82.8,14.8,2.4,"SANDY LOAM",25.0147673,-17.1305112,22.8083330790202,668,1
497,"id_439",1.24,1.16,1.1,1.4,39.79,48.65,88.8,6.8,4.4,"SAND",72.8,20.8,6.4,"SANDY CLAY LOAM",24.8538385,-17.309857,22.8749998410543,649,0
498,"id_89",0.64,0.24,1.6,1.76,30,12.68,84.8,12.8,2.4,"LOAMY SAND",78.8,8.8,12.4,"SANDY LOAM",24.7327725,-17.4780013,22.8750001589457,632,1
499,"id_317",0.4,0.4,1.1,1.99,12.61,23.89,92.8,6.8,0.4,"SAND",88.8,8.8,2.4,"LOAMY SAND",24.9359449,-16.9653904,22.2749999364217,687,3
500,"id_398",0.72,0.32,1.4,1,30.43,9.56,90.8,6.8,2.4,"SAND",90.8,4.8,4.4,"SAND",24.93646101,-17.43727268,23.4416666030884,635,0
